total+总收益率%,total+交易胜率%,total+盈亏比,total+交易次数,total+最大回撤%,strategy_name
-4.634,40.317,1.404,315.0,11.177,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|second_wave_trend_1^18|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-4.629,34.513,1.794,339.0,10.434,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
-4.628,34.234,1.819,333.0,10.069,bb_neutral^10.0^2.5|kc_neutral^8.0^8.0^1.7&price_crossover_ema^12|rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^89|trailing_stop^34^1.5
-4.626,34.568,1.784,324.0,9.557,bb_neutral^12.0^2.0999999999999996|smi_neutral^11^7^30.0^-30.0^EMA&price_crossover_ema^12|rvi_crossover_signal^100^80|bb_price_crossover_low^35.0^3.4999999999999996&roc_crossunder0^59|trailing_stop^34^1.5
-4.55,39.557,1.445,316.0,12.106,kc_neutral^8.0^8.0^1.7|tsi_neutral^160^48^20.0^-20.0^EMA&price_crossover_ema^12|bb_price_crossover_high_2^230.0^2.0999999999999996|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-4.54,38.413,1.524,315.0,12.26,bb_neutral^10.0^2.5|bb_neutral^12.0^2.0999999999999996&price_crossover_ema^12|second_wave_trend_2^16|bb_price_crossover_low^35.0^3.4999999999999996&bb_price_crossunder_high^34^2.5|trailing_stop^34^1.5
-4.535,37.821,1.555,312.0,10.898,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77|kc_price_crossover_low^20.0^20.0^2.8999999999999995&emacd_histogram_start_decrease^233^466^233|trailing_stop^34^1.5
-4.487,35.693,1.706,339.0,11.259,kc_neutral^8.0^8.0^1.7|adx_higher_threshold^80.0^5.0&price_crossover_ema^12|rvi_crossover_signal^110^77|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
-4.465,41.956,1.31,317.0,12.005,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77|kc_price_crossover_low^14.0^17.0^2.5&bb_price_crossunder_high^34^2|trailing_stop^34^1.5
-4.462,35.224,1.74,335.0,10.066,bb_neutral^10.0^2.5|bb_neutral^12.0^2.0999999999999996&price_crossover_ema^12|rvi_crossover_signal^110^77|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
-4.461,35.191,1.744,341.0,11.135,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^110^77|kc_price_crossover_low^20.0^20.0^2.8999999999999995&roc_crossunder0^59|trailing_stop^34^1.5
-4.427,34.604,1.792,341.0,11.386,kc_neutral^8.0^8.0^1.7|rsi_neutral^90^65^35&price_crossover_ema^12|rvi_crossover_signal^100^80|kc_price_crossover_low^14.0^17.0^2.5&roc_crossunder0^59|trailing_stop^34^1.5
