datetime,open,high,low,close,volume,convexity_higher1^6^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.5|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&aroon_diff_crossunder0^89|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|tsi_crossover0^80^24^EMA|smi_d_crossover0^230^207^207^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^89|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|mass_crossover1^220^88&trailing_stop^34^3.5|trailing_stop^34^2.5,kc_neutral^35.0^14.0^2.5|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294&aroon_diff_crossunder0^89|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|adx_crossunder_threshold^190.0^10.0&trailing_stop^34^3.5|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|ema_fast_crossover_slow^30^72&aroon_diff_crossunder0^109|trailing_stop^34^2.5,smacd_increase^80^128|smi_k_higher_d^50^40^35&smi_k_crossover0^70^21^EMA|smacd_start_increase^210^294|mass_crossover1^220^88|tsi_crossover0^80^24^EMA&aroon_diff_crossunder0^109|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|smi_d_crossover0^230^207^207^EMA&trailing_stop^34^3.0|trailing_stop^34^2.5,tsi_neutral^220^176^10.0^-10.0^SMA|aroon_diff_higher0^70&tsi_crossover0^50^45^EMA|ema_fast_crossover_slow^35^56|smacd_start_increase^210^294|ema_fast_crossover_slow^30^72&trailing_stop^34^3.0|trailing_stop^34^2.5
2026-03-10 02:15:00,11.905,11.915,11.9025,11.91,87.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 02:30:00,11.91,11.94,11.9075,11.915,345.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 02:45:00,11.915,11.9275,11.9025,11.9225,675.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 03:00:00,11.925,11.93,11.905,11.9125,416.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 03:15:00,11.915,11.92,11.9075,11.9175,247.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 03:30:00,11.9175,11.92,11.905,11.9175,137.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 03:45:00,11.915,11.9175,11.9075,11.9075,87.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 04:00:00,11.9125,11.92,11.895,11.92,130.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 04:15:00,11.915,11.92,11.9125,11.9175,32.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
2026-03-10 04:30:00,11.9175,11.9225,11.9125,11.9175,91.0,1.0516261653402292,1.05112967765757,1.0652586466009528,1.0521328972806594,1.0487664075556489,1.0509153153853297,1.048980769827889,1.0517009071520538,1.0661250288768085,1.0652586466009528,1.0517009071520538,1.0519185350084193
